URL,FILE SIZE,OUTGOING URLS,CONTENT-TYPE
http://www.nydailynews.com/new-york/new-york-city-construction-workers-great-heights-gallery-1.1121866?pmSlide=1.1121847,69010,22,text/html
http://www.nydailynews.com/sports/basketball/knicks/charles-barkley-likes-knicks-offseason-moves-article-1.2324667,91529,112,text/html
http://www.nydailynews.com/tags/corona,106978,154,text/html
http://www.nydailynews.com/autos/toyota/details/pricing/toyota-prius-2016-1.2484989?vtype=price,34941,107,text/html
http://www.nydailynews.com/tags/nelly,103901,142,text/html
http://www.nydailynews.com/autos/toyota/details/pricing/toyota-tacoma-2017-1.2793708?vtype=price,34729,107,text/html
http://www.nydailynews.com/life-style/donna-karan-fall-2014-gallery-1.1611528,67400,22,text/html
http://www.nydailynews.com/new-york/nypd-sergeants-union-ripped-video-blue-racism-article-1.3435697,92297,121,text/html
http://www.nydailynews.com/entertainment/tv/big-brother-ott-spoilers-america-shouldn-punish-alex-article-1.2827932,93350,109,text/html
http://www.nydailynews.com/sports/more-sports/fantasy-golf-2017-pga-championship-preview-article-1.3397757,97377,111,text/html
http://www.nydailynews.com/sports/sports-stars-gallery-1.2432390?pmSlide=1.3452678,67598,22,text/html
http://www.nydailynews.com/autos/latest-reviews/test-drive-2015-gmc-yukon-xl-denali-article-1.2028912,102548,119,text/html
http://www.nydailynews.com/autos/video-nissan-seamless-autonomous-mobility-driverless-system-nasa-article-1.2944901,83601,112,text/html
http://www.nydailynews.com/new-york/robert-durst-won-cover-nyc-dog-sitter-murder-trial-article-1.3286418,94161,115,text/html
http://www.nydailynews.com/blogs/rangers/hayes-odd-man-rangers-edmonton-blog-entry-1.2462247,44745,73,text/html
http://www.nydailynews.com/entertainment/10-comedians-dramatic-roles-article-1.2408772,96885,123,text/html
http://www.nydailynews.com/new-york/new-york-city-construction-workers-great-heights-gallery-1.1121866?pmSlide=1.1121853,68398,22,text/html
http://www.nydailynews.com/sports/football/fantasy-football-adp-duel-dak-prescott-ben-roethlisberger-article-1.3439669,93343,111,text/html
http://www.nydailynews.com/amp/autos/new-redesigned-2018-suvs-coming-out-list-gallery-1.3470202,46626,30,text/html
http://www.nydailynews.com/autos/news/2018-sonata-earns-tsp-ram-debuts-harvest-edition-trucks-article-1.3458695,92723,119,text/html
http://www.nydailynews.com/autos/jaguar/details/specs/jaguar-f-pace-2017-1.2862430?vtype=specs,35372,108,text/html
http://www.nydailynews.com/tags/todd-frazier,107166,153,text/html
http://www.nydailynews.com/life-style/wine-fire-cookout-vinos-article-1.3285531,87393,109,text/html
http://www.nydailynews.com/entertainment/tv/norman-lear-boycotts-kennedy-center-donald-trump-article-1.3384224,92028,112,text/html
http://www.nydailynews.com/amp/entertainment/tv/msnbc-anchor-lawrence-o-donnell-loses-control-graphic-article-1.3509545,27758,33,text/html
http://www.nydailynews.com/life-style/top-destinations-booked-2015-u-s-travelers-article-1.2051256,83883,106,text/html
http://www.nydailynews.com/new-york/ny-focus-gallery-1.3329548,66227,22,text/html
http://www.nydailynews.com/autos/chrysler/details/specs/2016-chrysler-300-2016-1.2355510?vtype=specs,34896,107,text/html
http://www.nydailynews.com/newswires/news/world/superbug-spread-vietnam-threatens-malaria-control-article-1.3510022,85341,107,text/html
http://www.nydailynews.com/blogs/rangers/vigneault-create-feel-new-lines-blog-entry-1.2444424,42897,76,text/html
http://www.nydailynews.com/newswires/entertainment/uk-tate-reunite-picasso-nudes-time-1932-article-1.3510973,87348,107,text/html
http://www.nydailynews.com/newswires/entertainment/lauren-ralph-lauren-designer-channels-007-opulent-show-article-1.3492841,88633,109,text/html
http://www.nydailynews.com/new-york/fdny-rep-threatened-racist-letter-helping-fellow-emt-article-1.3481954,96276,122,text/html
http://www.nydailynews.com/autos/nissan/details/specs/2018-nissan-armada-review-ratings-photos-specifications-2018-1.3487307?vtype=specs,35155,107,text/html
http://www.nydailynews.com/entertainment/music/best-acts-afropunk-brooklyn-article-1.3449124,96091,116,text/html
http://www.nydailynews.com/news/crime/teacher-charged-scamming-nyc-shop-140g-computers-article-1.3490460,86587,110,text/html
http://www.nydailynews.com/autos/chevrolet/details/specs/chevrolet-silverado-hd-2017-1.2896152?vtype=specs,35693,107,text/html
http://www.nydailynews.com/amp/new-york/queens/bit-gallery-1.51042,27953,30,text/html
http://www.nydailynews.com/sports/baseball/braves-playing-rock-hurricane-miami-article-1.3480385,89250,120,text/html
http://www.nydailynews.com/tags/robert-durst,107005,154,text/html
http://www.nydailynews.com/autos/types/sedan/2016-dna-award-winner-mazda-mazda3-article-1.2561676,83551,117,text/html
http://www.nydailynews.com/tags/interviews,107248,160,text/html
http://www.nydailynews.com/new-york/bronx/family-rescued-fdny-bronx-high-rise-blaze-article-1.3296844,91310,111,text/html
http://www.nydailynews.com/autos/nissan/details/colors/nissan-rogue-hybrid-2017-1.2785969?vtype=colors,35456,108,text/html
http://www.nydailynews.com/autos/news/2018-lexus-lc-500-coupe-marvel-studios-black-panther-cameo-article-1.3354083,84358,111,text/html
http://www.nydailynews.com/autos/hyundai/details/pricing/2018-hyundai-santa-fe-sport-review-ratings-photos-specifications-2018-1.3429692?vtype=price,35449,107,text/html
http://www.nydailynews.com/entertainment/kate-del-castillo-accuses-mexican-government-persecution-article-1.2947856,88393,110,text/html
http://www.nydailynews.com/newswires/entertainment/leonardo-dicaprio-foundation-awards-20m-eco-grants-article-1.3506988,87307,107,text/html
http://www.nydailynews.com/newswires/sports/fowler-big-cardinals-top-reds-8-7-10-innings-article-1.3507533,92488,109,text/html
http://www.nydailynews.com/autos/tags/minivans/stories/2,56956,104,text/html
http://www.nydailynews.com/autos/gmc/details/colors/gmc-canyon-2017-1.2858420?vtype=colors,35433,108,text/html
http://www.nydailynews.com/life-style/health/walgreens-recalls-powdered-doughnuts-due-mold-article-1.2255288,84926,106,text/html
http://www.nydailynews.com/amp/newswires/news/business/tesla-denies-claims-block-unionizing-effort-article-1.3511337,28508,30,text/html
http://www.nydailynews.com/autos/eye-candy-pagani-huayra-roadster-gallery-1.2994291,27173,20,text/html
http://www.nydailynews.com/autos/mazda-3-2017-1.2784832,35886,115,text/html
http://www.nydailynews.com/autos/tags/chevrolet-traverse,58030,107,text/html
http://www.nydailynews.com/autos/tags/traverse,57930,107,text/html
http://www.nydailynews.com/autos/street-smarts/5-to-drive-best-trucks-list-article-1.3140203,91324,124,text/html
http://www.nydailynews.com/sports/sports-stars-gallery-1.2432390?pmSlide=1.2429219,67503,22,text/html
http://www.nydailynews.com/autos/latest-reviews/first-drive-2018-audi-sq5-review-article-1.3174093,97172,120,text/html
http://www.nydailynews.com/news/national/man-facing-criminal-charges-abandoning-puppy-article-1.3498196,86149,112,text/html
http://www.nydailynews.com/news/world/suspect-arrested-parsons-green-subway-attack-article-1.3501271,90660,118,text/html
http://www.nydailynews.com/newswires/entertainment/don-henley-lyle-lovett-clint-black-plan-harvey-benefit-article-1.3508641,88485,108,text/html
http://www.nydailynews.com/entertainment/coca-cola-super-bowl-ad-celebrates-america-beautiful-article-1.2965008,88332,110,text/html
http://www.nydailynews.com/newswires/sports/teenager-mckennie-1st-bundesliga-start-schalke-article-1.3507317,85071,107,text/html
http://www.nydailynews.com/life-style/oxford-english-dictionary-add-woke-post-truth-article-1.3281535,89795,110,text/html
http://www.nydailynews.com/autos/photos?page=5,74121,176,text/html
http://www.nydailynews.com/autos/toyota/details/specs/toyota-tacoma-2017-1.2793708?vtype=specs,34719,107,text/html
http://www.nydailynews.com/autos/photos?page=4,74336,175,text/html
http://www.nydailynews.com/autos/photos?page=3,74087,176,text/html
http://www.nydailynews.com/tags/jerry-lewis,100617,128,text/html
http://www.nydailynews.com/newswires/news/business/protests-continue-spanish-court-secession-arrests-article-1.3510729,92964,109,text/html
http://www.nydailynews.com/new-york/track-fire-major-delays-gallery-1.3332600,67308,22,text/html
http://www.nydailynews.com/autos/buyers-guide/daily-news-deal-week-2015-cadillac-cts-article-1.2397209,87304,114,text/html
http://www.nydailynews.com/amp/newswires/new-york/schumer-vows-push-bill-improve-disaster-phone-access-article-1.3484076,24882,30,text/html
http://www.nydailynews.com/entertainment/tv/justin-bieber-comedy-central-roast-joked-guests-article-1.2167926,95819,123,text/html
http://www.nydailynews.com/autos/toyota/details/pricing/toyota-avalon-2015-1.2078835?vtype=price,35466,107,text/html
http://www.nydailynews.com/sports/college/raissman-leaked-ncaa-bracket-cbs-problems-article-1.2564516,94540,125,text/html
http://www.nydailynews.com/autos/gallery-2018-infiniti-qx30-photos-gallery-1.3156643,26889,19,text/html
http://www.nydailynews.com/entertainment/gossip/confidential/michael-moore-toys-threatening-gov-cuomo-b-debut-article-1.3397247,91603,115,text/html
http://www.nydailynews.com/autos/pictures-2017-chevrolet-camaro-zl1-photo-gallery-gallery-1.2983391,27441,20,text/html
http://www.nydailynews.com/sports/new-york-daily-news-back-pages-2017-gallery-1.2943572?pmSlide=1.3510552,67310,22,text/html
http://www.nydailynews.com/autos/chrysler/details/colors/chrysler-300-2015-1.2078692?vtype=colors,35487,107,text/html
http://www.nydailynews.com/autos/kia/kia-forte-sedan-overview-2017-1.2756306,35556,112,text/html
http://www.nydailynews.com/autos/tags/mitsubishi-eclipse-cross,57533,105,text/html
http://www.nydailynews.com/autos/gmc/details/pricing/gmc-yukon-2016-1.2422322?vtype=price,34608,107,text/html
http://www.nydailynews.com/autos/chevrolet/details/pricing/chevrolet-traverse-2017-1.2999798?vtype=price,35612,108,text/html
http://www.nydailynews.com/autos/dodge/details/specs/dodge-viper-2017-1.2816891?vtype=specs,34758,107,text/html
http://www.nydailynews.com/entertainment/best-celebrity-throwback-thursday-photos-gallery-1.2440447?pmSlide=1.3501890,69791,22,text/html
http://www.nydailynews.com/news/national/north-carolina-boy-9-saves-family-house-fire-article-1.3403620,86143,110,text/html
http://www.nydailynews.com/autos/news/first-look-2018-ford-explorer-preview-article-1.3051823,87658,117,text/html
http://www.nydailynews.com/news/crime/man-pleads-guilty-stomping-puppies-death-front-kids-article-1.3499282,87608,111,text/html
http://www.nydailynews.com/entertainment/tv/maria-menounos-calls-tumor-gift-megyn-kelly-interview-article-1.3345284,90140,114,text/html
http://www.nydailynews.com/amp/autos/eye-candy-audi-rs-4-avant-gallery-1.3498014,33847,30,text/html
http://www.nydailynews.com/new-york/anthony-weiner-kid-tow-vote-dodge-sydney-leathers-primary-day-article-1.1451579,109809,128,text/html
